type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2024-03-09 20:15:12,45.66044543,13.79423386,6.55,125.341,,1.320,245,13,43,20240309-211512,GPS Logger: 20240309-211512 - Camminata
T,2024-03-09 20:15:13,45.66044745,13.79421917,6.28,126.580,,1.200,268,14,43,,
T,2024-03-09 20:15:14,45.66044144,13.79420745,6.43,126.987,,1.110,252,15,43,,
T,2024-03-09 20:15:15,45.66044104,13.79419216,6.62,127.347,,1.090,243,15,43,,
T,2024-03-09 20:15:16,45.66044315,13.79417885,6.79,127.772,,0.980,237,14,43,,
T,2024-03-09 20:15:17,45.66044977,13.79415994,7.41,128.026,,1.250,272,14,43,,
T,2024-03-09 20:15:18,45.66044892,13.79414747,6.77,128.263,,0.930,244,12,43,,
T,2024-03-09 20:15:19,45.66045283,13.79415167,6.79,127.353,,0.590,261,12,43,,
T,2024-03-09 20:15:20,45.66046153,13.79414405,6.30,133.109,,1.170,242,10,43,,
T,2024-03-09 20:15:21,45.66046480,13.79413033,7.16,133.138,,1.210,237,10,43,,
T,2024-03-09 20:15:22,45.66046890,13.79410975,7.17,135.918,,1.510,238,9,43,,
T,2024-03-09 20:15:23,45.66047233,13.79408976,7.11,135.789,,1.370,245,9,43,,
T,2024-03-09 20:15:24,45.66047246,13.79407522,7.41,136.583,,1.370,242,8,43,,
T,2024-03-09 20:15:25,45.66046768,13.79406757,7.07,135.462,,1.150,233,8,43,,
T,2024-03-09 20:15:26,45.66046089,13.79406673,6.96,133.920,,1.210,220,9,43,,
T,2024-03-09 20:15:27,45.66045712,13.79406997,8.06,135.345,,0.580,224,10,43,,
T,2024-03-09 20:15:28,45.66045646,13.79407345,7.96,135.846,,0.480,229,10,43,,
T,2024-03-09 20:15:29,45.66045711,13.79407441,8.19,135.539,,0.700,241,10,43,,
T,2024-03-09 20:15:30,45.66045801,13.79406613,7.60,135.924,,1.400,250,10,43,,
T,2024-03-09 20:15:31,45.66045459,13.79405293,7.79,136.268,,1.690,238,10,43,,
